run,ebeam,target,hms_p,hms_th,shms_p,shms_th,run_type,x,Q2,z,thpq,BCM1_Q,BCM1_I,BCM2_Q,BCM2_I,BCM4A_Q,BCM4A_I,BCM4B_Q,BCM4B_I,BCM4C_Q,BCM4C_I,h_esing_Eff,h_hadron_Eff,p_esing_Eff,p_hadron_Eff,ps1,ps2,ps3,ps4,ps5,ps6,comp_livetime,electr_deadtime,coin,randoms,ransubcoin,normyield,ctmean,ctsigma,fan_mean,fan_stdev,fan_current_correction,IHWP
23834,8.5831,HOLE,2.28,42.0,-7.07,12.465,HOLE,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,OUT
23835,8.5831,HOLE,2.28,42.0,-7.07,12.465,HOLE,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,OUT
23837,8.5831,HOLE,2.28,42.0,-7.07,12.465,HOLE,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,OUT
23838,8.5831,HOLE,2.28,42.0,-7.07,12.465,HOLE,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,OUT
23839,8.5831,LH2,2.28,42.0,-7.07,12.465,HEEP,-999,-999,-999,-999,-1.233,-0.411,14.548,4.85,17.429,5.811,14.55,4.851,14.665,4.89,-999,9895.0,829.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,-999,-999,-999,-999,-999,-999,41.8577,2.06451,1.003775,OUT
23840,8.5831,LH2,2.28,42.0,-7.07,12.465,HEEP,-999,-999,-999,-999,7.817,3.859,46.284,22.85,41.901,20.686,47.328,23.366,46.661,23.036,-999,1730.0,8067.0,87.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,-999,-999,-999,-999,-999,-999,41.519,2.10083,1.01552,OUT
23841,8.5831,LH2,2.28,42.0,-7.07,12.465,HEEP,-999,-999,-999,-999,11.85,25.178,11.835,25.144,10.439,22.178,12.114,25.737,11.924,25.335,-999,5780.0,115.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,-999,-999,-999,-999,-999,-999,41.8972,2.0105,1.01667,OUT
23842,8.5831,LH2,2.28,42.0,-7.07,12.465,HEEP,-999,-999,-999,-999,20.232,22.824,20.217,22.807,20.123,22.702,20.748,23.407,20.434,23.053,-999,6844.0,9234.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,OUT
23844,8.5831,LH2,2.28,42.0,-7.07,12.465,HEEP,-999,-999,-999,-999,38.748,28.722,38.681,28.672,36.861,27.323,39.644,29.386,38.964,28.882,-999,1758.0,5752.0,53.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,OUT
23845,8.5831,LH2,2.28,42.0,-7.07,12.465,HEEP,-999,-999,-999,-999,34.657,28.744,34.612,28.707,33.634,27.895,35.47,29.418,34.847,28.902,-999,6196.0,5640.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,-999,-999,-999,-999,-999,-999,38.6015,2.28986,1.019358,OUT
23846,8.5831,LH2,2.28,42.0,-7.07,12.465,HEEP,-999,-999,-999,-999,45.918,30.193,45.847,30.146,45.994,30.243,47.024,30.92,46.176,30.362,-999,739.0,3076.0,44.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,-999,-999,-999,-999,-999,-999,36.9819,1.95918,1.020669,OUT
23847,8.5831,LH2,2.28,42.0,-7.07,12.465,HEEP,-999,-999,-999,-999,35.597,30.798,35.553,30.76,34.424,29.783,36.41,31.501,35.737,30.919,-999,7886.0,9288.0,65.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,-999,-999,-999,-999,-999,-999,38.2373,1.66793,1.020593,OUT
23848,8.5831,LH2,2.28,42.0,-7.07,12.465,HEEP,-999,-999,-999,-999,28.153,23.391,28.122,23.364,30.699,25.505,28.81,23.936,28.35,23.554,-999,8030.0,665.0,4.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,-999,-999,-999,-999,-999,-999,40.3577,1.97727,1.016004,OUT
23849,8.5831,LH2,3.75,29.99,-5.67,19.34,HEEP,-999,-999,-999,-999,45.098,32.872,45.003,32.803,41.212,30.039,45.965,33.503,45.075,32.855,-999,884.0,652.0,-999,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,-999,-999,-999,-999,-999,-999,39.2598,1.82511,1.021273,OUT
23850,8.5831,LH2,3.75,29.99,-5.67,19.34,HEEP,-999,-999,-999,-999,52.004,41.482,51.928,41.422,46.334,36.96,53.138,42.387,52.064,41.531,-999,256.0,235.0,-999,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,-999,-999,-999,-999,-999,-999,41.3658,1.98229,1.023772,OUT
23851,8.5831,LH2,3.75,29.99,-5.67,19.34,HEEP,-999,-999,-999,-999,57.087,41.932,57.027,41.888,51.198,37.606,58.356,42.864,57.151,41.979,-999,1302.0,208.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,-999,-999,-999,-999,-999,-999,40.7394,1.66385,1.024328,OUT
23853,8.5831,LH2,-4.5,14.0,-4.5,13.995,HMSDIS,-999,-999,-999,-999,22803.601,46.321,22822.968,46.36,-999,-0.0,23300.6,47.33,22870.024,46.45,0.9979,0.9791,-999,-999,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,0.99872,99.6262,-999,-999,-999,-999,-999,-999,36.1322,1.52305,1.030154,OUT
23855,8.5831,LH2,-4.5,14.0,-4.5,13.995,HMSDIS,-999,-999,-999,-999,18029.382,29.979,18009.498,29.946,-999,-0.0,18163.514,30.2,18021.128,29.96,0.9981,0.9659,-999,-999,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,0.99978,99.6917,-999,-999,-999,-999,-999,-999,36.7617,1.53206,1.020623,OUT
23856,8.5831,LH2,-4.5,14.0,-4.5,13.995,SHMSDIS,-999,-999,-999,-999,55747.689,36.603,55705.967,36.576,-999,-0.002,56407.481,37.036,55601.453,36.507,-999,-999,0.9887,0.975,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.99986,99.6793,-999,-999,-999,-999,-999,-999,36.8463,1.69069,1.02437,OUT
23857,8.5831,LH2,-4.5,14.0,-4.5,13.995,HMSDIS,-999,-999,-999,-999,31137.68,37.324,31095.2,37.273,3386.787,4.06,31502.259,37.76,31046.578,37.21,0.9981,0.979,-999,-999,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,0.999,99.681,-999,-999,-999,-999,-999,-999,35.3806,1.58538,1.025651,OUT
23858,8.5831,LH2,-4.5,14.0,-4.5,13.995,HMSDIS,-999,-999,-999,-999,40117.294,40.072,40057.673,40.013,-999,-0.0,12823.613,12.8,39909.273,39.86,0.9979,0.9798,-999,-999,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,0.99913,99.6754,-999,-999,-999,-999,-999,-999,41.2914,1.9574,1.023335,OUT
23859,8.5831,LH2,-4.5,14.0,-4.5,13.995,HMSDIS,-999,-999,-999,-999,33185.541,33.81,33127.26,33.751,11653.773,11.87,32332.846,32.94,33101.425,33.72,0.998,0.9659,-999,-999,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,1.0,99.7177,-999,-999,-999,-999,-999,-999,35.8487,2.45498,1.023259,OUT
23860,8.5831,Dummy,-4.5,14.0,-4.5,13.995,HMSDIS,-999,-999,-999,-999,41492.132,22.63,41415.622,22.588,41414.721,22.58,41715.35,22.75,41454.756,22.6,0.9982,0.972,-999,-999,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,0.9998,99.8276,-999,-999,-999,-999,-999,-999,-999,-999,-999,OUT
23861,8.5831,LH2,-1.531,29.045,-3.632,11.07,PI-SIDIS,0.25,3.3,0.5,5.2,88.292,39.956,88.218,39.922,88.655,40.12,89.495,40.5,88.744,40.16,7617.0,5310.0,219.0,233.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,0.0,0.0,0.0,nan,0.0,0.0,-999,-999,-999,OUT
23862,8.5831,LD2,-1.531,29.045,-3.632,11.07,PI-SIDIS,0.25,3.3,0.5,5.2,41.836,23.094,41.77,23.058,41.981,23.174,42.24,23.317,42.041,23.207,88.0,3102.0,388.0,610.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1744.0,460.667,1283.33,31.5995,51.1634,0.370254,38.0991,1.58427,1.016184,OUT
23864,8.5831,C,-1.531,29.045,-3.632,11.07,PI-SIDIS,0.25,3.3,0.5,5.2,64.696,35.409,64.627,35.372,65.084,35.622,65.645,35.929,65.181,35.675,8246.0,6498.0,54.0,720.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1589.0,407.333,1181.67,18.6224,51.1172,0.363686,-999,-999,-999,OUT
23865,8.5831,Cu,-1.531,29.045,-3.632,11.07,PI-SIDIS,0.25,3.3,0.5,5.2,64.753,36.362,64.688,36.325,64.934,36.463,65.499,36.78,64.971,36.484,9976.0,5807.0,615.0,668.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,976.0,287.167,688.833,10.8641,51.2051,0.373279,35.3971,2.20457,1.025062,OUT
23866,8.5831,Dummy,-1.531,29.045,-3.632,11.07,PI-SIDIS,0.25,3.3,0.5,5.2,57.615,31.733,57.553,31.699,57.43,31.631,58.071,31.985,57.436,31.635,284.0,1621.0,35.0,113.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,671.0,122.333,548.667,9.68134,51.2519,0.377307,37.8386,2.16041,1.021247,OUT
23867,8.5831,LH2,-1.531,29.045,-3.632,11.07,PI-SIDIS,0.25,3.3,0.5,5.2,68.194,39.141,68.141,39.111,68.359,39.236,69.069,39.643,68.502,39.318,584.0,1934.0,84.0,133.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1297.0,300.167,996.833,14.9008,51.1996,0.388489,38.466,1.66263,1.024675,OUT
23868,8.5831,LH2,-1.531,29.045,-3.632,11.07,PI-SIDIS,0.25,3.3,0.5,5.2,77.839,40.492,77.787,40.465,78.223,40.692,78.996,41.094,78.372,40.769,4243.0,8940.0,951.0,833.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1436.0,351.667,1084.33,14.1993,51.1893,0.37288,40.8442,2.45113,1.023759,OUT
23876,8.5831,LH2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,31.989,15.541,31.938,15.516,31.895,15.495,32.072,15.581,31.924,15.509,8845.0,6295.0,50.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1147.0,460.167,686.833,22.6506,51.3853,0.326606,38.5871,2.9177,1.011334,IN
23878,8.5831,LD2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,12.347,7.347,12.343,7.345,12.363,7.357,12.294,7.315,12.376,7.364,4280.0,3319.0,6.0,57.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,810.0,349.167,460.833,45.3503,51.4,0.334974,40.4701,2.95837,1.005628,IN
23879,8.5831,Dummy,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,27.944,14.304,27.905,14.284,27.95,14.307,28.058,14.362,27.973,14.319,769.0,5483.0,2.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,627.0,253.5,373.5,16.2504,51.3746,0.321268,39.395,3.63457,1.010486,IN
23880,8.5831,LH2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,17.93,14.937,17.907,14.918,17.939,14.945,18.024,15.016,17.967,14.969,433.0,80882.0,24.0,676.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,605.0,207.5,397.5,27.8052,51.3607,0.311501,37.9578,4.42632,1.01095,IN
23881,8.5831,LH2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,21.944,12.944,21.921,12.93,22.029,12.994,22.069,13.018,22.042,13.002,1612.0,2429.0,4.0,39.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,672.0,283.167,388.833,22.0045,51.3518,0.3421,42.3853,2.01158,1.009454,IN
23882,8.5831,LH2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,24.963,13.902,24.935,13.887,25.025,13.937,25.111,13.985,25.056,13.954,3060.0,5514.0,1.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,801.0,316.0,485.0,23.6295,51.3568,0.326534,39.5891,3.43023,1.010214,IN
23883,8.5831,LH2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,24.541,13.797,24.517,13.783,24.638,13.851,24.707,13.89,24.665,13.866,2841.0,4855.0,2.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,762.0,310.833,451.167,21.7405,51.3594,0.337991,38.1712,1.92122,1.010174,IN
23884,8.5831,LH2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,25.729,14.446,25.704,14.432,25.831,14.503,25.92,14.553,25.873,14.527,3782.0,7110.0,7.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,819.0,337.0,482.0,22.4275,51.3673,0.316678,36.4863,1.84803,1.010628,IN
23885,8.5831,LH2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,12.594,7.093,12.599,7.095,12.7,7.152,12.597,7.094,12.731,7.17,684.0,850.0,-999,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,356.0,95.6667,260.333,24.9128,51.3681,0.293502,37.2879,3.11753,1.005397,IN
23886,8.5831,LD2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,11.848,6.899,11.854,6.902,11.961,6.964,11.851,6.901,11.984,6.978,2877.0,8838.0,3.0,38.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,776.0,297.333,478.667,49.9233,51.3705,0.332818,40.3226,1.97017,1.005303,IN
23887,8.5831,LD2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,11.627,6.807,11.634,6.811,11.745,6.877,11.632,6.81,11.767,6.889,2487.0,8328.0,6.0,95.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,858.0,293.667,564.333,59.8307,51.3806,0.31432,39.5175,2.05827,1.005232,IN
23888,8.5831,LD2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,9.947,6.766,9.953,6.77,10.051,6.836,9.951,6.768,10.065,6.846,822.0,2336.0,0.0,82.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,672.0,265.5,406.5,50.074,51.3858,0.330621,39.6475,1.98577,1.005203,IN
23889,8.5831,LD2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,10.695,6.692,10.701,6.696,10.806,6.761,10.696,6.692,10.824,6.772,1484.0,4633.0,5.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,687.0,280.167,406.833,47.03,51.407,0.32492,40.4914,2.06028,1.005152,IN
23890,8.5831,Dummy,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,19.117,14.082,19.101,14.069,19.229,14.164,19.27,14.194,19.248,14.178,655.0,7526.0,6.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,409.0,178.667,230.333,14.3612,51.3616,0.349728,35.6972,1.4258,1.010365,IN
23891,8.5831,Dummy,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,14.98,7.686,14.984,7.688,15.083,7.739,14.987,7.689,15.109,7.752,104.0,703.0,-999,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,278.0,80.1667,197.833,15.6313,51.4272,0.389256,38.372,2.00665,1.00586,IN
23892,8.5831,LH2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,40.051,20.251,40.002,20.226,40.049,20.25,40.283,20.368,40.12,20.286,8888.0,7410.0,0.0,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1355.0,664.5,690.5,21.2899,51.3327,0.343979,40.2993,2.25737,1.014189,IN
23893,8.5831,LH2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,35.964,19.866,35.92,19.841,35.891,19.826,36.094,19.937,35.941,19.853,6274.0,1295.0,8.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1186.0,612.0,574.0,19.8665,51.3436,0.367923,41.8859,2.02109,1.013767,IN
23894,8.5831,LH2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,35.976,19.957,35.931,19.932,35.845,19.885,36.114,20.034,35.901,19.915,5829.0,1149.0,1.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1182.0,587.667,594.333,20.5654,51.3684,0.368736,42.5618,2.60778,1.013729,IN
23895,8.5831,LH2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,36.784,19.449,36.741,19.426,36.62,19.362,36.928,19.525,36.654,19.38,6702.0,2513.0,3.0,61.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1262.0,605.5,656.5,22.2388,51.3399,0.351047,37.7279,1.98424,1.013943,IN
23896,8.5831,LH2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,22.504,9.975,22.491,9.969,22.419,9.937,22.452,9.952,22.439,9.946,768.0,7070.0,-999,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,678.0,223.667,454.333,24.6693,51.3966,0.324584,37.8592,1.59187,1.007501,IN
23897,8.5831,LD2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,15.457,9.56,15.448,9.555,15.39,9.519,15.399,9.524,15.406,9.529,2532.0,9546.0,3.0,63.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1017.0,509.833,507.167,41.0438,51.3527,0.361517,41.8884,3.0877,1.007188,IN
23898,8.5831,LD2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,18.877,9.806,18.867,9.801,18.784,9.758,18.808,9.77,18.809,9.77,8354.0,5889.0,36.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1297.0,609.667,687.333,46.0926,51.3688,0.350132,43.2876,2.23101,1.007307,IN
23899,8.5831,LD2,-1.531,29.045,-2.615,7.865,PI-SIDIS,0.25,3.3,0.36,2.0,18.029,9.862,18.02,9.857,17.94,9.813,17.965,9.827,17.962,9.825,6948.0,1848.0,9.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1260.0,582.333,677.667,46.7288,51.3925,0.309125,39.279,2.44119,1.007435,IN
