run,ebeam,target,hms_p,hms_th,shms_p,shms_th,run_type,x,Q2,z,thpq,BCM1_Q,BCM1_I,BCM2_Q,BCM2_I,BCM4A_Q,BCM4A_I,BCM4B_Q,BCM4B_I,BCM4C_Q,BCM4C_I,h_esing_Eff,h_hadron_Eff,p_esing_Eff,p_hadron_Eff,ps1,ps2,ps3,ps4,ps5,ps6,comp_livetime,electr_deadtime,coin,randoms,ransubcoin,normyield,normyield_err,ctmean,ctsigma,boil_corr,IHWP,coinblock_ratio,BCM2_Q_hp,BCM2_Q_hm,h_EL_CLEAN,p_EL_CLEAN
27106,6.449,LH2,1.67,47.91,-5.52,13.01,HEEP,-999,-999,-999,-999,38.488,18.024,38.361,17.965,33.843,15.849,217.029,101.638,52.719,24.689,0.0,0.9997,0.9985,0.7674,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.99969,0.0016,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,572.0,43005331.0
27107,6.449,Dummy,1.67,47.91,-5.52,13.01,HEEP,-999,-999,-999,-999,66.466,36.708,66.147,36.532,58.403,32.255,258.743,142.901,90.913,50.21,0.9999,0.9996,0.9971,0.7405,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.99998,0.0012,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,920.0,26415388.0
27108,6.449,Dummy,1.67,47.91,-5.52,13.01,HEE,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,-999,-999
27109,6.449,LH2,1.67,47.91,-5.52,13.01,HEE,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,-999,-999
27113,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,27419.078,28.033,27283.873,27.895,23995.331,24.533,149002.979,152.34,37345.455,38.182,0.9996,0.9984,-999,-999,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,-999,95.6526,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,781651.0,270706998.0
27114,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,21643.945,27.736,21543.523,27.607,18905.657,24.227,117685.305,150.807,29426.549,37.709,0.9766,0.9761,-999,-999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-999,95.6492,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,616391.0,213618100.0
27115,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,16390.539,27.379,16317.804,27.257,14354.462,23.977,89033.557,148.72,22364.336,37.357,0.9998,0.9985,-999,-999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-999,95.6494,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,467475.0,162016192.0
27116,6.449,LH2,-1.165,31.278,-2.766,8.275,SHMSDIS,0.22,2.2,0.5,2.0,13604.863,26.547,13549.789,26.44,11956.495,23.331,73984.458,144.367,-999,-999,-999,-999,0.9855,0.9793,-999,-999,-999,-999,-999,-999,-999,95.652,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,388673.0,134524160.0
27118,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,24578.551,27.22,24497.881,27.13,21698.749,24.03,133317.893,147.643,33820.725,37.455,0.9996,0.9988,-999,-999,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,-999,95.6532,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,705177.0,244471465.0
27119,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,27946.883,27.507,27837.348,27.399,24679.265,24.291,152121.935,149.728,38472.524,37.867,0.9998,0.9988,-999,-999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-999,95.6639,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,800422.0,277909280.0
